"","0","","","1","","","Total","",""
"","mean","variance","count","mean","variance","count","mean","variance","count"
"remesas_pre_avg","12.809","1,110.044","2,310","261.106","110,338.458","13","14.199","2,017.283","2,323"
"log_remesas_pre_avg","1.279","2.131","2,310","4.837","1.988","13","1.299","2.200","2,323"
"viv_emig_00","6.460","47.731","2,310","2.769","2.771","13","6.439","47.554","2,323"
"viv_emig_10","3.900","17.288","2,310","0.914","0.187","13","3.883","17.242","2,323"
"im_2000","0.029","0.957","2,309","-1.535","0.461","13","0.020","0.968","2,322"
"im_2010","0.028","0.956","2,310","-1.522","0.315","13","0.019","0.966","2,323"
"log_poblacion_2010","9.368","2.366","2,310","13.213","1.945","13","9.389","2.445","2,323"
"log_densidad","3.939","2.763","2,310","6.802","6.130","13","3.955","2.824","2,323"
"pea_pct","47.788","73.107","2,310","57.321","4.415","13","47.841","73.227","2,323"
